Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
,37,45,.451,20.0,111.8,113.5,-1.33,2019,Western,Los Angeles Lakers
,19,63,.232,38.0,107.5,116.8,-8.61,2019,Western,Phoenix Suns
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Western,Southwest Division
,53,29,.646,—,113.9,109.1,4.96,2019,Western,Houston Rockets*
,48,34,.585,5.0,111.7,110.0,1.80,2019,Western,San Antonio Spurs*
,33,49,.402,20.0,103.5,106.1,-2.08,2019,Western,Memphis Grizzlies
,33,49,.402,20.0,115.4,116.8,-1.10,2019,Western,New Orleans Pelicans
,33,49,.402,20.0,108.9,110.1,-0.87,2019,Western,Dallas Mavericks
Toronto Raptors*,53,19,.736,—,112.8,106.5,5.97,2020,Eastern,
Boston Celtics*,48,24,.667,5.0,113.7,107.3,5.83,2020,Eastern,
Philadelphia 76ers*,43,30,.589,10.5,110.7,108.4,2.25,2020,Eastern,
Brooklyn Nets*,35,37,.486,18.0,111.8,112.3,-1.01,2020,Eastern,
New York Knicks,21,45,.318,29.0,105.8,112.3,-6.72,2020,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2020,Eastern,
Milwaukee Bucks*,56,17,.767,—,118.7,108.6,9.41,2020,Eastern,
Indiana Pacers*,45,28,.616,11.0,109.4,107.5,1.63,2020,Eastern,
Chicago Bulls,22,43,.338,30.0,106.8,109.9,-4.00,2020,Eastern,
Detroit Pistons,20,46,.303,32.5,107.2,110.8,-4.38,2020,Eastern,
Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,-7.77,2020,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2020,Eastern,
Miami Heat*,44,29,.603,—,112.0,109.1,2.59,2020,Eastern,
Orlando Magic*,33,40,.452,11.0,107.3,108.3,-0.93,2020,Eastern,
Charlotte Hornets,23,42,.354,17.0,102.9,109.6,-7.03,2020,Eastern,
Washington Wizards,25,47,.347,18.5,114.4,119.1,-5.24,2020,Eastern,
Atlanta Hawks,20,47,.299,21.0,111.8,119.7,-7.71,2020,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Western,Northwest Division
,46,27,.630,—,111.3,109.2,2.35,2020,Western,Denver Nuggets*
,44,28,.611,1.5,110.4,108.4,2.33,2020,Western,Oklahoma City Thunder*
,44,28,.611,1.5,111.3,108.8,2.52,2020,Western,Utah Jazz*
,35,39,.473,11.5,115.0,116.1,-0.61,2020,Western,Portland Trail Blazers*
,19,45,.297,22.5,113.3,117.5,-4.02,2020,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Western,Pacific Division
,52,19,.732,—,113.4,107.6,6.28,2020,Western,Los Angeles Lakers*
,49,23,.681,3.5,116.3,109.9,6.66,2020,Western,Los Angeles Clippers*
,34,39,.466,19.0,113.6,113.4,0.56,2020,Western,Phoenix Suns
,31,41,.431,21.5,110.1,112.1,-1.59,2020,Western,Sacramento Kings
,15,50,.231,34.0,106.3,115.0,-8.12,2020,Western,Golden State Warriors
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Western,Southwest Division
,44,28,.611,—,117.8,114.8,3.13,2020,Western,Houston Rockets*
,43,32,.573,2.5,117.0,112.1,4.87,2020,Western,Dallas Mavericks*
,34,39,.466,10.5,112.6,113.7,-0.91,2020,Western,Memphis Grizzlies
,32,39,.451,11.5,114.1,115.2,-0.65,2020,Western,San Antonio Spurs
,30,42,.417,14.0,115.8,117.1,-0.55,2020,Western,New Orleans Pelicans
Philadelphia 76ers*,49,23,.681,—,113.6,108.1,5.28,2021,Eastern,
Brooklyn Nets*,48,24,.667,1.0,118.6,114.1,4.24,2021,Eastern,
New York Knicks*,41,31,.569,8.0,107.0,104.7,2.13,2021,Eastern,
Boston Celtics*,36,36,.500,13.0,112.6,111.2,1.32,2021,Eastern,
Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54,2021,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Eastern,
Milwaukee Bucks*,46,26,.639,—,120.1,114.2,5.57,2021,Eastern,
Indiana Pacers,34,38,.472,12.0,115.3,115.3,-0.13,2021,Eastern,
Chicago Bulls,31,41,.431,15.0,110.7,111.6,-0.94,2021,Eastern,
Cleveland Cavaliers,22,50,.306,24.0,103.8,112.3,-8.19,2021,Eastern,
Detroit Pistons,20,52,.278,26.0,106.6,111.1,-4.38,2021,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Eastern,
Atlanta Hawks*,41,31,.569,—,113.7,111.4,2.14,2021,Eastern,
Miami Heat*,40,32,.556,1.0,108.1,108.0,-0.06,2021,Eastern,
Washington Wizards*,34,38,.472,7.0,116.6,118.5,-1.85,2021,Eastern,
Charlotte Hornets,33,39,.458,8.0,109.5,111.4,-1.94,2021,Eastern,
Orlando Magic,21,51,.292,20.0,104.0,113.3,-9.02,2021,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Western,Northwest Division
,52,20,.722,—,116.4,107.2,8.97,2021,Western,Utah Jazz*
,47,25,.653,5.0,115.1,110.1,4.82,2021,Western,Denver Nuggets*
,42,30,.583,10.0,116.1,114.3,1.81,2021,Western,Portland Trail Blazers*
,23,49,.319,29.0,112.1,117.7,-5.25,2021,Western,Minnesota Timberwolves
,22,50,.306,30.0,105.0,115.6,-10.13,2021,Western,Oklahoma City Thunder
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Western,Pacific Division
,51,21,.708,—,115.3,109.5,5.67,2021,Western,Phoenix Suns*
,47,25,.653,4.0,114.0,107.8,6.02,2021,Western,Los Angeles Clippers*
,42,30,.583,9.0,109.5,106.8,2.77,2021,Western,Los Angeles Lakers*
,39,33,.542,12.0,113.7,112.7,1.10,2021,Western,Golden State Warriors
,31,41,.431,20.0,113.7,117.4,-3.45,2021,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Western,Southwest Division
,42,30,.583,—,112.4,110.2,2.26,2021,Western,Dallas Mavericks*
,38,34,.528,4.0,113.3,112.3,1.07,2021,Western,Memphis Grizzlies*
,33,39,.458,9.0,111.1,112.8,-1.58,2021,Western,San Antonio Spurs
,31,41,.431,11.0,114.6,114.9,-0.20,2021,Western,New Orleans Pelicans
,17,55,.236,25.0,108.8,116.7,-7.50,2021,Western,Houston Rockets
Boston Celtics*,51,31,.622,—,111.8,104.5,7.02,2022,Eastern,
Philadelphia 76ers*,51,31,.622,—,109.9,107.3,2.57,2022,Eastern,
Toronto Raptors*,48,34,.585,3.0,109.4,107.1,2.38,2022,Eastern,
Brooklyn Nets*,44,38,.537,7.0,112.9,112.1,0.82,2022,Eastern,
New York Knicks,37,45,.451,14.0,106.5,106.6,-0.01,2022,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2022,Eastern,
Milwaukee Bucks*,51,31,.622,—,115.5,112.1,3.22,2022,Eastern,
Chicago Bulls*,46,36,.561,5.0,111.6,112.0,-0.38,2022,Eastern,
Cleveland Cavaliers,44,38,.537,7.0,107.8,105.7,2.04,2022,Eastern,
Indiana Pacers,25,57,.305,26.0,111.5,114.9,-3.26,2022,Eastern,
Detroit Pistons,23,59,.280,28.0,104.8,112.5,-7.36,2022,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2022,Eastern,
Miami Heat*,53,29,.646,—,110.0,105.6,4.23,2022,Eastern,
Atlanta Hawks*,43,39,.524,10.0,113.9,112.4,1.55,2022,Eastern,
Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53,2022,Eastern,
Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23,2022,Eastern,
Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67,2022,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Western,Northwest Division
,49,33,.598,—,113.6,107.6,5.67,2022,Western,Utah Jazz*
,48,34,.585,1.0,112.7,110.4,2.16,2022,Western,Denver Nuggets*
,46,36,.561,3.0,115.9,113.3,2.53,2022,Western,Minnesota Timberwolves*
,27,55,.329,22.0,106.2,115.1,-8.55,2022,Western,Portland Trail Blazers
,24,58,.293,25.0,103.7,111.8,-7.90,2022,Western,Oklahoma City Thunder
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Western,Pacific Division
,64,18,.780,—,114.8,107.3,6.94,2022,Western,Phoenix Suns*
,53,29,.646,11.0,111.0,105.5,5.52,2022,Western,Golden State Warriors*
,42,40,.512,22.0,108.4,108.4,0.09,2022,Western,Los Angeles Clippers
,33,49,.402,31.0,112.1,115.1,-3.08,2022,Western,Los Angeles Lakers
,30,52,.366,34.0,110.3,115.8,-5.26,2022,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Western,Southwest Division
,56,26,.683,—,115.6,109.9,5.37,2022,Western,Memphis Grizzlies*
,52,30,.634,4.0,108.0,104.7,3.12,2022,Western,Dallas Mavericks*
,36,46,.439,20.0,109.3,110.3,-0.84,2022,Western,New Orleans Pelicans*
,34,48,.415,22.0,113.2,113.0,0.02,2022,Western,San Antonio Spurs
,20,62,.244,36.0,109.7,118.2,-8.26,2022,Western,Houston Rockets
Boston Celtics*,57,25,.695,—,117.9,111.4,6.38,2023,Eastern,
Philadelphia 76ers*,54,28,.659,3.0,115.2,110.9,4.37,2023,Eastern,
New York Knicks*,47,35,.573,10.0,116.0,113.1,2.99,2023,Eastern,
Brooklyn Nets*,45,37,.549,12.0,113.4,112.5,1.03,2023,Eastern,
Toronto Raptors,41,41,.500,16.0,112.9,111.4,1.59,2023,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2023,Eastern,
Milwaukee Bucks*,58,24,.707,—,116.9,113.3,3.61,2023,Eastern,
Cleveland Cavaliers*,51,31,.622,7.0,112.3,106.9,5.23,2023,Eastern,
Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37,2023,Eastern,
Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91,2023,Eastern,
Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73,2023,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2023,Eastern,
Miami Heat*,44,38,.537,—,109.5,109.8,-0.13,2023,Eastern,
Atlanta Hawks*,41,41,.500,3.0,118.4,118.1,0.32,2023,Eastern,
Washington Wizards,35,47,.427,9.0,113.2,114.4,-1.06,2023,Eastern,
Orlando Magic,34,48,.415,10.0,111.4,114.0,-2.39,2023,Eastern,
Charlotte Hornets,27,55,.329,17.0,111.0,117.2,-5.89,2023,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2023,Western,Northwest Division
,53,29,.646,—,115.8,112.5,3.04,2023,Western,Denver Nuggets*
,42,40,.512,11.0,115.8,115.8,-0.22,2023,Western,Minnesota Timberwolves*
,40,42,.488,13.0,117.5,116.4,0.96,2023,Western,Oklahoma City Thunder
,37,45,.451,16.0,117.1,118.0,-1.03,2023,Western,Utah Jazz
,33,49,.402,20.0,113.4,117.4,-3.96,2023,Western,Portland Trail Blazers
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2023,Western,Pacific Division
,48,34,.585,—,120.7,118.1,2.30,2023,Western,Sacramento Kings*
,45,37,.549,3.0,113.6,111.6,2.08,2023,Western,Phoenix Suns*
,44,38,.537,4.0,113.6,113.1,0.31,2023,Western,Los Angeles Clippers*
,44,38,.537,4.0,118.9,117.1,1.66,2023,Western,Golden State Warriors*
,43,39,.524,5.0,117.2,116.6,0.43,2023,Western,Los Angeles Lakers*
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2023,Western,Southwest Division
,51,31,.622,—,116.9,113.0,3.60,2023,Western,Memphis Grizzlies*
,42,40,.512,9.0,114.4,112.5,1.63,2023,Western,New Orleans Pelicans
,38,44,.463,13.0,114.2,114.1,-0.14,2023,Western,Dallas Mavericks
,22,60,.268,29.0,110.7,118.6,-7.62,2023,Western,Houston Rockets
,22,60,.268,29.0,113.0,123.1,-9.82,2023,Western,San Antonio Spurs
