Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
,50,32,.610,13.0,107.9,106.1,1.76,1994,Western,Golden State Warriors*
,47,35,.573,16.0,107.3,104.6,2.60,1994,Western,Portland Trail Blazers*
,33,49,.402,30.0,100.4,104.7,-3.93,1994,Western,Los Angeles Lakers
,28,54,.341,35.0,101.1,106.9,-5.32,1994,Western,Sacramento Kings
,27,55,.329,36.0,103.0,108.7,-5.28,1994,Western,Los Angeles Clippers
Orlando Magic*,57,25,.695,—,110.9,103.8,6.44,1995,Eastern,
New York Knicks*,55,27,.671,2.0,98.2,95.1,2.78,1995,Eastern,
Boston Celtics*,35,47,.427,22.0,102.8,104.7,-1.92,1995,Eastern,
Miami Heat,32,50,.390,25.0,101.1,102.8,-1.85,1995,Eastern,
New Jersey Nets,30,52,.366,27.0,98.1,101.2,-3.28,1995,Eastern,
Philadelphia 76ers,24,58,.293,33.0,95.4,100.4,-5.06,1995,Eastern,
Washington Bullets,21,61,.256,36.0,100.5,106.1,-5.56,1995,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1995,Eastern,
Indiana Pacers*,52,30,.634,—,99.2,95.5,3.35,1995,Eastern,
Charlotte Hornets*,50,32,.610,2.0,100.6,97.3,2.87,1995,Eastern,
Chicago Bulls*,47,35,.573,5.0,101.5,96.7,4.32,1995,Eastern,
Cleveland Cavaliers*,43,39,.524,9.0,90.5,89.8,0.55,1995,Eastern,
Atlanta Hawks*,42,40,.512,10.0,96.6,95.3,1.06,1995,Eastern,
Milwaukee Bucks,34,48,.415,18.0,99.3,103.7,-4.30,1995,Eastern,
Detroit Pistons,28,54,.341,24.0,98.2,105.5,-7.08,1995,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1995,Western,Midwest Division
,62,20,.756,—,106.6,100.6,5.90,1995,Western,San Antonio Spurs*
,60,22,.732,2.0,106.4,98.4,7.76,1995,Western,Utah Jazz*
,47,35,.573,15.0,103.5,101.4,2.32,1995,Western,Houston Rockets*
,41,41,.500,21.0,101.3,100.5,0.96,1995,Western,Denver Nuggets*
,36,46,.439,26.0,103.2,106.1,-2.39,1995,Western,Dallas Mavericks
,21,61,.256,41.0,94.2,103.2,-8.22,1995,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1995,Western,Pacific Division
,59,23,.720,—,110.6,106.8,3.86,1995,Western,Phoenix Suns*
,57,25,.695,2.0,110.4,102.2,7.91,1995,Western,Seattle SuperSonics*
,48,34,.585,11.0,105.1,105.3,-0.01,1995,Western,Los Angeles Lakers*
,44,38,.537,15.0,103.1,99.2,3.80,1995,Western,Portland Trail Blazers*
,39,43,.476,20.0,98.2,99.2,-0.74,1995,Western,Sacramento Kings
,26,56,.317,33.0,105.7,111.1,-4.90,1995,Western,Golden State Warriors
,17,65,.207,42.0,96.7,105.8,-8.43,1995,Western,Los Angeles Clippers
Orlando Magic*,60,22,.732,—,104.5,99.0,5.40,1996,Eastern,
New York Knicks*,47,35,.573,13.0,97.2,94.9,2.24,1996,Eastern,
Miami Heat*,42,40,.512,18.0,96.5,95.0,1.46,1996,Eastern,
Washington Bullets,39,43,.476,21.0,102.5,101.5,0.99,1996,Eastern,
Boston Celtics,33,49,.402,27.0,103.6,107.0,-3.37,1996,Eastern,
New Jersey Nets,30,52,.366,30.0,93.7,97.9,-4.14,1996,Eastern,
Philadelphia 76ers,18,64,.220,42.0,94.5,104.5,-9.45,1996,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1996,Eastern,
Chicago Bulls*,72,10,.878,—,105.2,92.9,11.80,1996,Eastern,
Indiana Pacers*,52,30,.634,20.0,99.3,96.1,3.11,1996,Eastern,
Cleveland Cavaliers*,47,35,.573,25.0,91.1,88.5,2.49,1996,Eastern,
Atlanta Hawks*,46,36,.561,26.0,98.3,97.1,1.29,1996,Eastern,
Detroit Pistons*,46,36,.561,26.0,95.4,92.9,2.45,1996,Eastern,
Charlotte Hornets,41,41,.500,31.0,102.8,103.4,-0.48,1996,Eastern,
Milwaukee Bucks,25,57,.305,47.0,95.6,100.9,-4.92,1996,Eastern,
Toronto Raptors,21,61,.256,51.0,97.5,105.0,-7.20,1996,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1996,Western,Midwest Division
,59,23,.720,—,103.4,97.1,5.98,1996,Western,San Antonio Spurs*
,55,27,.671,4.0,102.5,95.9,6.25,1996,Western,Utah Jazz*
,48,34,.585,11.0,102.5,100.7,1.63,1996,Western,Houston Rockets*
,35,47,.427,24.0,97.7,100.4,-2.62,1996,Western,Denver Nuggets
,26,56,.317,33.0,97.9,103.2,-5.14,1996,Western,Minnesota Timberwolves
,26,56,.317,33.0,102.5,107.5,-4.71,1996,Western,Dallas Mavericks
,15,67,.183,44.0,89.8,99.8,-9.55,1996,Western,Vancouver Grizzlies
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1996,Western,Pacific Division
,64,18,.780,—,104.5,96.7,7.40,1996,Western,Seattle SuperSonics*
,53,29,.646,11.0,102.9,98.5,4.21,1996,Western,Los Angeles Lakers*
,44,38,.537,20.0,99.3,97.0,2.21,1996,Western,Portland Trail Blazers*
,41,41,.500,23.0,104.3,104.0,0.28,1996,Western,Phoenix Suns*
,39,43,.476,25.0,99.5,102.3,-2.62,1996,Western,Sacramento Kings*
,36,46,.439,28.0,101.6,103.1,-1.42,1996,Western,Golden State Warriors
,29,53,.354,35.0,99.4,103.0,-3.46,1996,Western,Los Angeles Clippers
Miami Heat*,61,21,.744,—,94.8,89.3,5.56,1997,Eastern,
New York Knicks*,57,25,.695,4.0,95.4,92.2,3.31,1997,Eastern,
Orlando Magic*,45,37,.549,16.0,94.1,94.5,-0.07,1997,Eastern,
Washington Bullets*,44,38,.537,17.0,99.4,97.7,1.77,1997,Eastern,
New Jersey Nets,26,56,.317,35.0,97.2,101.8,-3.89,1997,Eastern,
Philadelphia 76ers,22,60,.268,39.0,100.2,106.7,-5.89,1997,Eastern,
Boston Celtics,15,67,.183,46.0,100.6,107.9,-6.62,1997,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1997,Eastern,
Chicago Bulls*,69,13,.841,—,103.1,92.3,10.70,1997,Eastern,
Atlanta Hawks*,56,26,.683,13.0,94.8,89.4,5.52,1997,Eastern,
Detroit Pistons*,54,28,.659,15.0,94.2,88.9,5.45,1997,Eastern,
Charlotte Hornets*,54,28,.659,15.0,98.9,97.0,2.13,1997,Eastern,
Cleveland Cavaliers,42,40,.512,27.0,87.5,85.6,2.32,1997,Eastern,
Indiana Pacers,39,43,.476,30.0,95.4,94.4,1.49,1997,Eastern,
Milwaukee Bucks,33,49,.402,36.0,95.3,97.2,-1.38,1997,Eastern,
Toronto Raptors,30,52,.366,39.0,95.5,98.6,-2.56,1997,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1997,Western,Midwest Division
,64,18,.780,—,103.1,94.3,7.97,1997,Western,Utah Jazz*
,57,25,.695,7.0,100.6,96.1,3.85,1997,Western,Houston Rockets*
,40,42,.488,24.0,96.1,97.6,-1.82,1997,Western,Minnesota Timberwolves*
,24,58,.293,40.0,90.6,97.0,-6.47,1997,Western,Dallas Mavericks
,21,61,.256,43.0,97.8,104.1,-6.40,1997,Western,Denver Nuggets
,20,62,.244,44.0,90.5,98.3,-7.93,1997,Western,San Antonio Spurs
,14,68,.171,50.0,89.2,99.4,-10.17,1997,Western,Vancouver Grizzlies
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1997,Western,Pacific Division
,57,25,.695,—,100.9,93.2,6.91,1997,Western,Seattle SuperSonics*
,56,26,.683,1.0,100.0,95.7,3.66,1997,Western,Los Angeles Lakers*
,49,33,.598,8.0,99.0,94.8,3.56,1997,Western,Portland Trail Blazers*
,40,42,.488,17.0,102.8,102.2,0.21,1997,Western,Phoenix Suns*
,36,46,.439,21.0,97.2,99.5,-2.66,1997,Western,Los Angeles Clippers*
,34,48,.415,23.0,96.4,99.8,-3.64,1997,Western,Sacramento Kings
,30,52,.366,27.0,99.6,104.4,-4.90,1997,Western,Golden State Warriors
Miami Heat*,55,27,.671,—,95.0,90.0,5.09,1998,Eastern,
