Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year,MVP_Score
337.0,Jarred Vanderbilt,24.0,LAL,PF,29.0,6.0,0.5291005291005292,2.0,3.9,0.518,0.3,0.9,0.296,1.8,3.0,0.586,0.553,0.8,1.2,0.667,1.4,3.3,0.35036496350364965,0.11009174311926605,0.5714285714285714,0.05555555555555556,1.0,1.5,0.14985590778097982,,2024,0.28725881445752105
203.0,Sam Hauser,26.0,BOS,SF,79.0,13.0,0.5820105820105821,3.2,7.1,0.446,2.5,5.9,0.424,0.7,1.2,0.559,0.623,0.2,0.2,0.895,0.6,2.9,0.25547445255474455,0.09174311926605504,0.23809523809523808,0.08333333333333333,0.4,1.3,0.25936599423631124,,2024,0.28723904063413574
293.0,Patrick Beverley,35.0,MIL,PG,26.0,8.0,0.5529100529100529,2.1,5.3,0.391,1.0,2.8,0.361,1.1,2.5,0.424,0.486,0.9,1.0,0.852,0.7,2.9,0.26277372262773724,0.23853211009174313,0.3333333333333333,0.1388888888888889,0.6,1.7,0.17291066282420747,,2024,0.286574395256183
222.0,Ziaire Williams,22.0,MEM,SF,51.0,15.0,0.5396825396825397,2.9,7.4,0.397,1.1,3.7,0.307,1.8,3.7,0.487,0.474,1.2,1.5,0.827,0.7,2.8,0.25547445255474455,0.13761467889908258,0.3333333333333333,0.05555555555555556,1.3,1.7,0.23631123919308353,,2024,0.2857199224832724
260.0,Gary Harris,29.0,ORL,SG,54.0,27.0,0.634920634920635,2.4,5.5,0.441,1.4,3.8,0.371,1.0,1.7,0.598,0.569,0.6,0.8,0.756,0.4,1.2,0.12408759124087591,0.14678899082568808,0.42857142857142855,0.08333333333333333,0.6,1.7,0.1988472622478386,,2024,0.2842359656046646
297.0,Vit Krejci,23.0,ATL,PG,22.0,14.0,0.6507936507936509,2.3,4.7,0.49,1.3,3.1,0.412,1.0,1.6,0.639,0.625,0.2,0.3,0.833,0.5,1.9,0.17518248175182483,0.2110091743119266,0.2857142857142857,0.08333333333333333,0.9,2.2,0.17579250720461093,,2024,0.2823529513280019
237.0,Nikola JoviÄ,20.0,MIA,PF,46.0,38.0,0.5158730158730159,2.8,6.1,0.452,1.4,3.5,0.399,1.3,2.6,0.525,0.568,0.7,1.0,0.702,0.5,3.6,0.30656934306569344,0.18348623853211007,0.23809523809523808,0.08333333333333333,0.9,1.8,0.22190201729106626,,2024,0.28232483694233734
219.0,Marcus Sasser,23.0,DET,PG,71.0,11.0,0.5026455026455027,3.1,7.2,0.428,1.3,3.4,0.375,1.8,3.8,0.474,0.516,0.8,0.9,0.879,0.2,1.6,0.13138686131386862,0.3027522935779816,0.2857142857142857,0.05555555555555556,1.3,1.5,0.23919308357348704,,2024,0.2807167593628049
298.0,Kris Murray,23.0,POR,SF,62.0,29.0,0.5740740740740741,2.3,5.9,0.396,0.8,3.0,0.268,1.5,3.0,0.525,0.463,0.6,0.9,0.661,1.4,2.2,0.26277372262773724,0.11926605504587157,0.42857142857142855,0.08333333333333333,0.9,1.5,0.17579250720461093,,2024,0.28067196851127946
143.0,Marvin Bagley III,24.0,DET,C,26.0,10.0,0.48677248677248675,4.1,7.0,0.591,0.0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,0.3284671532846716,0.09174311926605504,0.09523809523809523,0.1388888888888889,1.1,1.5,0.2939481268011527,,2024,0.27973613658576374
251.0,Jose Alvarado,25.0,NOP,PG,56.0,0.0,0.48677248677248675,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,0.1678832116788321,0.1926605504587156,0.5238095238095238,0.08333333333333333,0.7,1.6,0.20461095100864551,6MOY-6,2024,0.27959751357577445
168.0,Spencer Dinwiddie,30.0,LAL,PG,28.0,4.0,0.6402116402116402,2.0,5.0,0.397,1.3,3.2,0.389,0.8,1.8,0.412,0.521,1.6,1.8,0.88,0.1,1.5,0.12408759124087591,0.2201834862385321,0.23809523809523808,0.1388888888888889,1.0,1.9,0.19596541786743513,,2024,0.2790248541718098
347.0,Kobi Simmons,26.0,TOR,PG,4.0,0.0,0.4444444444444445,2.3,5.3,0.429,0.5,2.0,0.25,1.8,3.3,0.538,0.476,0.0,0.0,,0.3,1.5,0.13138686131386862,0.27522935779816515,0.7142857142857143,0.1388888888888889,0.3,1.3,0.1440922190201729,,2024,0.27868661428577035
294.0,Jae Crowder,33.0,MIL,PF,50.0,25.0,0.6111111111111112,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,0.23357664233576644,0.11926605504587157,0.38095238095238093,0.05555555555555556,0.5,1.5,0.1786743515850144,,2024,0.27855766575723884
293.0,Patrick Beverley,35.0,2TM,PG,73.0,13.0,0.5291005291005292,2.2,5.2,0.417,0.8,2.5,0.337,1.3,2.7,0.49,0.497,1.0,1.2,0.822,0.7,2.6,0.24087591240875914,0.2660550458715596,0.2857142857142857,0.11111111111111112,0.9,1.8,0.1786743515850144,,2024,0.2785227567438928
229.0,Dario Å ariÄ,29.0,GSW,C,64.0,9.0,0.45502645502645506,2.8,6.1,0.466,1.2,3.1,0.376,1.7,3.0,0.56,0.562,1.2,1.5,0.849,1.1,3.3,0.3211678832116789,0.2110091743119266,0.23809523809523808,0.05555555555555556,1.2,1.8,0.23054755043227665,,2024,0.2781107938724302
341.0,Richaun Holmes,30.0,WAS,PF,17.0,8.0,0.4947089947089947,2.9,5.2,0.557,0.1,0.2,0.333,2.8,5.0,0.565,0.563,1.3,1.5,0.846,2.2,3.9,0.44525547445255476,0.055045871559633024,0.23809523809523808,0.16666666666666666,0.7,2.4,0.20461095100864551,,2024,0.27774369083951017
338.0,Seth Curry,33.0,CHO,SG,8.0,1.0,0.5264550264550265,3.3,7.4,0.441,1.1,3.5,0.321,2.1,3.9,0.548,0.517,1.4,1.5,0.917,0.4,1.6,0.14598540145985403,0.1651376146788991,0.2857142857142857,0.11111111111111112,0.6,0.9,0.25936599423631124,,2024,0.2768645398215113
198.0,Malaki Branham,20.0,SAS,PG,75.0,29.0,0.5634920634920636,3.6,8.4,0.432,1.2,3.6,0.347,2.4,4.8,0.494,0.506,0.7,0.8,0.873,0.4,1.6,0.14598540145985403,0.1926605504587156,0.19047619047619047,0.02777777777777778,1.2,1.3,0.2651296829971181,,2024,0.2767272024716974
255.0,Vasilije MiciÄ,30.0,2TM,PG,60.0,21.0,0.5185185185185186,2.7,6.2,0.43,0.7,2.6,0.279,1.9,3.6,0.537,0.488,1.0,1.3,0.813,0.2,1.2,0.10948905109489052,0.4036697247706422,0.23809523809523808,0.02777777777777778,1.7,1.1,0.20172910662824206,,2024,0.276481120101831
263.0,MÃ£ozinha Pereira,23.0,MEM,SF,7.0,1.0,0.4603174603174603,2.6,5.0,0.514,0.7,1.9,0.385,1.9,3.1,0.591,0.586,1.0,1.4,0.7,1.6,3.7,0.38686131386861317,0.027522935779816512,0.42857142857142855,0.16666666666666666,0.7,1.4,0.1988472622478386,,2024,0.27500814748797625
252.0,Naji Marshall,26.0,NOP,SF,66.0,1.0,0.5026455026455027,2.6,5.6,0.463,0.9,2.3,0.387,1.7,3.3,0.516,0.542,1.0,1.3,0.791,0.8,2.8,0.26277372262773724,0.17431192660550457,0.3333333333333333,0.05555555555555556,1.0,1.4,0.20461095100864551,,2024,0.27381689187822383
231.0,Dante Exum,28.0,DAL,PG,55.0,17.0,0.5238095238095238,2.9,5.5,0.533,1.0,2.0,0.491,2.0,3.5,0.557,0.621,1.0,1.2,0.779,0.5,2.3,0.19708029197080296,0.2660550458715596,0.19047619047619047,0.02777777777777778,0.9,1.5,0.22478386167146971,,2024,0.2733430649597815
293.0,Patrick Beverley,35.0,PHI,PG,47.0,5.0,0.5185185185185186,2.2,5.1,0.432,0.7,2.3,0.321,1.5,2.8,0.523,0.504,1.1,1.3,0.81,0.6,2.4,0.22627737226277375,0.28440366972477066,0.23809523809523808,0.11111111111111112,1.0,1.8,0.18155619596541786,,2024,0.27321560795481104
272.0,Cason Wallace,20.0,OKC,SG,82.0,13.0,0.544973544973545,2.6,5.4,0.491,1.2,2.9,0.419,1.5,2.5,0.572,0.602,0.4,0.5,0.784,0.6,1.6,0.1678832116788321,0.13761467889908258,0.42857142857142855,0.1388888888888889,0.5,1.6,0.19596541786743513,,2024,0.2732088761365858
274.0,DÄvis BertÄns,31.0,CHO,PF,28.0,1.0,0.5502645502645503,2.9,7.4,0.394,2.4,6.3,0.375,0.6,1.1,0.5,0.553,0.6,0.6,0.889,0.3,1.6,0.13138686131386862,0.08256880733944955,0.38095238095238093,0.08333333333333333,0.6,1.6,0.25360230547550433,,2024,0.27316897202923907
230.0,Trayce Jackson-Davis,23.0,GSW,PF,68.0,16.0,0.43915343915343924,3.4,4.9,0.702,0.0,0.0,0.0,3.4,4.9,0.704,0.702,1.1,1.9,0.561,2.0,3.0,0.36496350364963503,0.11009174311926605,0.19047619047619047,0.3055555555555556,0.7,1.6,0.2276657060518732,,2024,0.27309736878957547
202.0,Duop Reath,27.0,POR,C,68.0,20.0,0.47354497354497355,3.4,7.3,0.461,1.3,3.6,0.359,2.1,3.7,0.559,0.549,1.0,1.4,0.742,1.4,2.3,0.27007299270072993,0.09174311926605504,0.23809523809523808,0.16666666666666666,0.8,2.4,0.2622478386167147,,2024,0.27291101216271973
243.0,Christian Braun,22.0,DEN,SG,82.0,4.0,0.5343915343915344,2.7,5.9,0.46,0.8,2.0,0.384,1.9,3.9,0.498,0.525,1.1,1.6,0.694,1.0,2.8,0.27007299270072993,0.14678899082568808,0.23809523809523808,0.11111111111111112,0.7,1.7,0.21037463976945242,,2024,0.2724038076916573
170.0,Alec Burks,32.0,2TM,SG,66.0,1.0,0.48677248677248675,3.2,8.6,0.369,1.9,5.0,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,0.1678832116788321,0.11926605504587157,0.19047619047619047,0.05555555555555556,0.7,1.1,0.29971181556195964,,2024,0.2671514196352856
301.0,Tosan Evbuomwan,22.0,DET,SF,13.0,8.0,0.5952380952380952,2.5,4.3,0.571,0.8,1.8,0.417,1.7,2.5,0.688,0.661,1.3,1.9,0.68,0.8,2.8,0.25547445255474455,0.07339449541284404,0.23809523809523808,0.08333333333333333,0.6,1.4,0.20172910662824206,,2024,0.2669593390388325
271.0,Day'Ron Sharpe,22.0,BRK,C,61.0,1.0,0.3994708994708995,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,0.578,1.2,2.0,0.61,2.6,3.7,0.4671532846715329,0.12844036697247704,0.19047619047619047,0.19444444444444442,1.1,2.1,0.19596541786743513,,2024,0.266590965164225
354.0,DeJon Jarreau,26.0,MEM,SG,9.0,0.0,0.4417989417989418,1.9,5.6,0.34,0.4,1.4,0.308,1.4,4.1,0.351,0.38,0.6,1.2,0.455,0.9,4.0,0.3576642335766424,0.2660550458715596,0.3333333333333333,0.05555555555555556,1.0,1.6,0.13832853025936598,,2024,0.26644377697890786
296.0,Haywood Highsmith,27.0,MIA,PF,66.0,26.0,0.5476190476190477,2.3,5.0,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1.0,2.2,0.23357664233576644,0.10091743119266056,0.38095238095238093,0.1388888888888889,0.5,1.8,0.17579250720461093,,2024,0.26626498061436993
213.0,Gradey Dick,20.0,TOR,SG,60.0,17.0,0.5582010582010583,3.2,7.4,0.425,1.5,4.0,0.365,1.7,3.4,0.495,0.524,0.7,0.9,0.863,0.5,1.8,0.16058394160583944,0.10091743119266056,0.2857142857142857,0.0,0.8,1.5,0.24495677233429392,,2024,0.2651717164484181
328.0,Xavier Tillman Sr.,25.0,2TM,PF,54.0,15.0,0.4761904761904762,2.2,5.2,0.434,0.4,1.5,0.247,1.9,3.7,0.51,0.47,0.4,0.9,0.44,1.3,2.6,0.2846715328467153,0.12844036697247704,0.42857142857142855,0.22222222222222224,0.6,1.4,0.15273775216138327,,2024,0.2646313474357122
191.0,Lonnie Walker IV,25.0,BRK,SG,58.0,0.0,0.4603174603174603,3.6,8.5,0.423,1.8,4.7,0.384,1.8,3.8,0.471,0.528,0.8,1.0,0.763,0.2,2.0,0.16058394160583944,0.11926605504587157,0.2857142857142857,0.08333333333333333,0.9,1.2,0.2795389048991354,,2024,0.26461770351404135
311.0,Pat Connaughton,31.0,MIL,SF,76.0,3.0,0.5846560846560848,2.0,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,0.22627737226277375,0.1926605504587156,0.23809523809523808,0.08333333333333333,0.6,1.3,0.16138328530259363,,2024,0.2642322456715386
250.0,Trey Lyles,28.0,SAC,PF,58.0,0.0,0.5291005291005292,2.5,5.5,0.445,1.4,3.8,0.384,1.0,1.8,0.578,0.576,0.8,1.2,0.7,1.1,3.4,0.3211678832116789,0.11009174311926605,0.14285714285714285,0.08333333333333333,0.7,1.5,0.20749279538904897,,2024,0.26158390910829565
218.0,Miles McBride,23.0,NYK,PG,68.0,14.0,0.5158730158730159,3.0,6.7,0.452,1.6,3.9,0.41,1.4,2.8,0.511,0.572,0.6,0.7,0.86,0.5,1.0,0.10948905109489052,0.15596330275229356,0.3333333333333333,0.02777777777777778,0.4,1.6,0.23919308357348704,,2024,0.2614322577246235
268.0,Julian Champagnie,22.0,SAS,SF,74.0,59.0,0.5238095238095238,2.2,5.4,0.408,1.4,3.7,0.365,0.9,1.7,0.504,0.534,1.0,1.2,0.815,0.6,2.2,0.20437956204379562,0.12844036697247704,0.2857142857142857,0.16666666666666666,0.8,1.0,0.19596541786743513,,2024,0.2601775522727099
259.0,Evan Fournier,31.0,DET,SG,29.0,0.0,0.4947089947089947,2.6,6.9,0.373,1.1,4.0,0.27,1.5,3.0,0.512,0.45,0.9,1.2,0.794,0.2,1.7,0.1386861313868613,0.14678899082568808,0.42857142857142855,0.05555555555555556,0.7,1.5,0.20749279538904897,,2024,0.2600204662947691
269.0,Jonathan Isaac,26.0,ORL,PF,58.0,2.0,0.417989417989418,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3.0,0.598,0.584,1.0,1.4,0.72,1.3,3.2,0.3284671532846716,0.04587155963302752,0.3333333333333333,0.3333333333333333,0.5,1.1,0.19596541786743513,6MOY-9,2024,0.25833658678914073
326.0,Dean Wade,27.0,CLE,PF,54.0,32.0,0.5423280423280423,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,0.29197080291970806,0.07339449541284404,0.3333333333333333,0.1388888888888889,0.4,1.7,0.15561959654178675,,2024,0.2580150397828944
215.0,Tristan Vukcevic,20.0,WAS,C,10.0,4.0,0.4047619047619048,2.9,6.7,0.433,1.0,3.6,0.278,1.9,3.1,0.613,0.507,1.7,2.2,0.773,0.6,3.0,0.26277372262773724,0.11926605504587157,0.23809523809523808,0.19444444444444442,1.0,2.8,0.24495677233429392,,2024,0.25752496395217117
391.0,Skylar Mays,26.0,POR,PG,21.0,5.0,0.44973544973544977,2.5,6.6,0.384,0.7,2.3,0.286,1.9,4.2,0.438,0.435,0.6,0.8,0.765,0.4,1.3,0.13138686131386862,0.3302752293577982,0.3333333333333333,0.02777777777777778,0.9,1.0,0.18155619596541786,,2024,0.25746329435795845
257.0,Quentin Grimes,23.0,DET,SG,6.0,0.0,0.5079365079365079,1.5,7.0,0.214,0.7,4.7,0.143,0.8,2.3,0.357,0.262,1.7,1.8,0.909,0.2,1.8,0.14598540145985403,0.2110091743119266,0.38095238095238093,0.19444444444444442,1.2,1.5,0.15273775216138327,,2024,0.2564121615270131
309.0,Torrey Craig,33.0,CHI,SF,53.0,14.0,0.5238095238095238,2.0,4.7,0.43,1.1,2.9,0.392,0.9,1.8,0.49,0.55,0.5,0.7,0.75,1.3,2.8,0.2992700729927007,0.10091743119266056,0.2857142857142857,0.11111111111111112,0.6,2.1,0.1642651296829971,,2024,0.2564098099057421
221.0,Isaiah Joe,24.0,OKC,SG,78.0,1.0,0.4894179894179895,2.8,6.2,0.458,1.9,4.5,0.416,1.0,1.7,0.568,0.609,0.6,0.7,0.865,0.4,1.9,0.1678832116788321,0.11926605504587157,0.2857142857142857,0.08333333333333333,0.6,1.1,0.23631123919308353,,2024,0.2564030168479779
275.0,Jahmi'us Ramsey,22.0,TOR,SG,7.0,1.0,0.45767195767195773,2.6,5.9,0.439,0.9,3.1,0.273,1.7,2.7,0.632,0.512,0.7,0.9,0.833,0.6,2.6,0.22627737226277375,0.10091743119266056,0.47619047619047616,0.0,1.0,1.4,0.1930835734870317,,2024,0.2558119103922154
266.0,Christian Wood,28.0,LAL,PF,50.0,1.0,0.4603174603174603,2.5,5.3,0.466,0.7,2.3,0.307,1.8,3.0,0.587,0.532,1.3,1.9,0.702,0.8,4.3,0.3722627737226277,0.09174311926605504,0.14285714285714285,0.19444444444444442,1.0,1.4,0.1988472622478386,,2024,0.2552688543064745
